VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
DEBT_NOPELL_PP_ANY_N,cip_4_digit.debt.parent_plus.not_pell.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_NOPELL_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.not_pell.all_inst.average,Average Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_NOPELL_PP_ANY_MDN,cip_4_digit.debt.parent_plus.not_pell.all_inst.median,Median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_ALL_PP_EVAL_N,cip_4_digit.debt.parent_plus.all.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_ALL_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.all.eval_inst.average,Average Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_ALL_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.all.eval_inst.median,Median Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_MALE_PP_EVAL_N,cip_4_digit.debt.parent_plus.male.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to males at this institution,NSLDS,programs
DEBT_MALE_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.male.eval_inst.average,Average Parent PLUS loan debt disbursed to males at this institution,NSLDS,programs
DEBT_MALE_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.male.eval_inst.median,Median Parent PLUS loan debt disbursed to males at this institution,NSLDS,programs
DEBT_NOTMALE_PP_EVAL_N,cip_4_digit.debt.parent_plus.not_male.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at this institution,NSLDS,programs
DEBT_NOTMALE_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.not_male.eval_inst.average,Average Parent PLUS loan debt disbursed to non-males at this institution,NSLDS,programs
DEBT_NOTMALE_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.not_male.eval_inst.median,Median Parent PLUS loan debt disbursed to non-males at this institution,NSLDS,programs
DEBT_PELL_PP_EVAL_N,cip_4_digit.debt.parent_plus.pell.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at this institution,NSLDS,programs
DEBT_PELL_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.pell.eval_inst.average,Average Parent PLUS loan debt disbursed to Pell recipients at this institution,NSLDS,programs
DEBT_PELL_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.pell.eval_inst.median,Median Parent PLUS loan debt disbursed to Pell recipients at this institution,NSLDS,programs
DEBT_NOPELL_PP_EVAL_N,cip_4_digit.debt.parent_plus.not_pell.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,NSLDS,programs
DEBT_NOPELL_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.not_pell.eval_inst.average,Average Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,NSLDS,programs
DEBT_NOPELL_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.not_pell.eval_inst.median,Median Parent PLUS loan debt disbursed to non-Pell-recipients at this institution,NSLDS,programs
DEBT_ALL_STGP_ANY_N,cip_4_digit.debt.staff_grad_plus.all.all_inst.count,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_ALL_STGP_ANY_MEAN,cip_4_digit.debt.staff_grad_plus.all.all_inst.average,Average Stafford and Grad PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_ALL_STGP_ANY_MDN,cip_4_digit.debt.staff_grad_plus.all.all_inst.median,Median Stafford and Grad PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_MALE_STGP_ANY_N,cip_4_digit.debt.staff_grad_plus.male.all_inst.count,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_MALE_STGP_ANY_MEAN,cip_4_digit.debt.staff_grad_plus.male.all_inst.average,Average Stafford and Grad PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_MALE_STGP_ANY_MDN,cip_4_digit.debt.staff_grad_plus.male.all_inst.median,Median Stafford and Grad PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_NOTMALE_STGP_ANY_N,cip_4_digit.debt.staff_grad_plus.not_male.all_inst.count,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,NSLDS,programs
