VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
EARN_COUNT_WNE_HI_2YR,cip_4_digit.earnings.highest.2_yr.working_not_enrolled.overall_count,Number of graduates working and not enrolled 2 years after completing highest credential,Treasury,programs
EARN_MDN_HI_2YR,cip_4_digit.earnings.highest.2_yr.overall_median_earnings,Median earnings of graduates working and not enrolled 2 years after completing highest credential,Treasury,programs
EARN_CNTOVER150_HI_2YR,cip_4_digit.earnings.highest.2_yr.overall_count_over_poverty_line,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 2 years after completing highest credential.,Treasury,programs
BBRR2_FED_COMP_N,cip_4_digit.repayment.2_yr_bb_fed_comp.count,Federal student loan borrower-based 2-year borrower count of completers,NSLDS,programs
BBRR2_FED_COMP_DFLT,cip_4_digit.repayment.2_yr_bb_fed_comp.default,Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 2 years,NSLDS,programs
BBRR2_FED_COMP_DLNQ,cip_4_digit.repayment.2_yr_bb_fed_comp.delinquent,Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 2 years,NSLDS,programs
BBRR2_FED_COMP_FBR,cip_4_digit.repayment.2_yr_bb_fed_comp.forbearance,Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 2 years,NSLDS,programs
BBRR2_FED_COMP_DFR,cip_4_digit.repayment.2_yr_bb_fed_comp.deferment,Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 2 years,NSLDS,programs
BBRR2_FED_COMP_NOPROG,cip_4_digit.repayment.2_yr_bb_fed_comp.noprogress,Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 2 years,NSLDS,programs
BBRR2_FED_COMP_MAKEPROG,cip_4_digit.repayment.2_yr_bb_fed_comp.makingprogress,Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 2 years,NSLDS,programs
BBRR2_FED_COMP_PAIDINFULL,cip_4_digit.repayment.2_yr_bb_fed_comp.fullypaid,Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 2 years,NSLDS,programs
BBRR2_FED_COMP_DISCHARGE,cip_4_digit.repayment.2_yr_bb_fed_comp.discharge,Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 2 years,NSLDS,programs
BBRR3_FED_COMP_N,cip_4_digit.repayment.3_yr_bb_fed_comp.count,Federal student loan borrower-based 3-year borrower count of completers,NSLDS,programs
BBRR3_FED_COMP_DFLT,cip_4_digit.repayment.3_yr_bb_fed_comp.default,Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 3 years,NSLDS,programs
BBRR3_FED_COMP_DLNQ,cip_4_digit.repayment.3_yr_bb_fed_comp.delinquent,Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 3 years,NSLDS,programs
BBRR3_FED_COMP_FBR,cip_4_digit.repayment.3_yr_bb_fed_comp.forbearance,Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 3 years,NSLDS,programs
BBRR3_FED_COMP_DFR,cip_4_digit.repayment.3_yr_bb_fed_comp.deferment,Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 3 years,NSLDS,programs
BBRR3_FED_COMP_NOPROG,cip_4_digit.repayment.3_yr_bb_fed_comp.noprogress,Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 3 years,NSLDS,programs
BBRR3_FED_COMP_MAKEPROG,cip_4_digit.repayment.3_yr_bb_fed_comp.makingprogress,Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 3 years,NSLDS,programs
BBRR3_FED_COMP_PAIDINFULL,cip_4_digit.repayment.3_yr_bb_fed_comp.fullypaid,Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 3 years,NSLDS,programs
BBRR3_FED_COMP_DISCHARGE,cip_4_digit.repayment.3_yr_bb_fed_comp.discharge,Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 3 years,NSLDS,programs
EARN_COUNT_PELL_WNE_1YR,cip_4_digit.earnings.1_yr.working_not_enrolled.pell_count,Number of graduates who received a Pell Grant and were working and not enrolled 1 year after completing,Treasury,programs
EARN_PELL_WNE_MDN_1YR,cip_4_digit.earnings.1_yr.pell_median_earnings,Median earnings of graduates who received a Pell Grant and were working and not enrolled 1 year after completing,Treasury,programs
EARN_COUNT_NOPELL_WNE_1YR,cip_4_digit.earnings.1_yr.working_not_enrolled.nonpell_count,Number of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing,Treasury,programs
EARN_NOPELL_WNE_MDN_1YR,cip_4_digit.earnings.1_yr.nonpell_median_earnings,Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 1 year after completing,Treasury,programs
EARN_COUNT_MALE_WNE_1YR,cip_4_digit.earnings.1_yr.working_not_enrolled.male_count,Number of male graduates working and not enrolled 1 year after completing,Treasury,programs
EARN_MALE_WNE_MDN_1YR,cip_4_digit.earnings.1_yr.male_median_earnings,Median earnings of male graduates working and not enrolled 1 year after completing,Treasury,programs
EARN_COUNT_NOMALE_WNE_1YR,cip_4_digit.earnings.1_yr.working_not_enrolled.nonmale_count,Number of non-male graduates working and not enrolled 1 year after completing,Treasury,programs
EARN_NOMALE_WNE_MDN_1YR,cip_4_digit.earnings.1_yr.nonmale_median_earnings,Median earnings of non-male graduates working and not enrolled 1 year after completing,Treasury,programs
EARN_COUNT_NE_3YR,cip_4_digit.earnings.highest.3_yr.not_enrolled.overall_count,Number of graduates not enrolled 3 years after completing highest credential,Treasury,programs
